State,Medicaid_Expanded,Total_Enrollment,All_Determinants_Rank,All_Determinants_Value,Cancer_Deaths_Rank,Cancer_Deaths_Value,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value,Cholesterol_Check_Rank,Cholesterol_Check_Value,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value,Diabetes_Rank,Diabetes_Value,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value,Drug_Deaths_Rank,Drug_Deaths_Value,High_Blood_Pressure_Rank,High_Blood_Pressure_Value,High_Cholesterol_Rank,High_Cholesterol_Value,Immunizations_Children_Rank,Immunizations_Children_Value,Infant_Mortality_Rank,Infant_Mortality_Value,Injury_Deaths_Rank,Injury_Deaths_Value,Obesity_Rank,Obesity_Value,Premature_Death_Rank,Premature_Death_Value,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value,Underemployment_Rate_Rank,Underemployment_Rate_Value,Unemployment_Rate_Rank,Unemployment_Rate_Value,Year,Uninsured_Rank,Uninsured_Value
Vermont,Y,160114.0,4.0,0.636,29.0,193.9,20.0,237.5,22.0,86.1,2.0,87.4,6.0,8.2,47.0,33.8,26.0,17.0,13.0,30.4,6.0,30.4,15.0,74.0,1.0,3.9,26.0,74.4,11.0,27.6,13.0,6563.0,11.0,183.3,7.0,6.4,6.0,3.1,2018,3.0,4.2
New Hampshire,Y,184476.0,5.0,0.563,27.0,192.8,9.0,221.4,11.0,88.8,4.0,87.1,7.0,8.4,27.0,28.3,49.0,31.9,11.0,30.0,23.0,32.8,3.0,78.9,1.0,3.9,37.0,80.8,13.0,28.1,20.0,7067.0,17.0,163.0,4.0,6.2,3.0,2.8,2018,15.0,5.9
Texas,N,4308644.0,42.0,-0.292,11.0,180.5,34.0,264.2,35.0,84.6,49.0,67.8,41.0,11.9,33.0,29.5,5.0,10.0,28.0,32.5,24.0,33.0,41.0,67.8,19.0,5.7,8.0,59.7,37.0,33.0,22.0,7199.0,45.0,113.2,26.0,8.2,25.0,4.3,2018,50.0,17.0
Nebraska,N,247510.0,14.0,0.318,19.0,187.4,16.0,232.4,37.0,84.4,21.0,80.1,18.0,10.1,49.0,35.8,1.0,6.8,16.0,30.6,16.0,31.9,5.0,77.9,24.0,6.0,7.0,58.5,35.0,32.8,10.0,6401.0,19.0,155.5,3.0,6.1,3.0,2.8,2018,29.0,8.5
Idaho,N,280570.0,20.0,0.264,14.0,182.1,25.0,241.3,49.0,78.4,37.0,74.8,8.0,8.7,47.0,33.8,16.0,14.2,10.0,29.8,7.0,30.8,36.0,69.2,15.0,5.4,28.0,75.6,19.0,29.3,15.0,6723.0,50.0,95.7,14.0,7.1,7.0,3.2,2018,39.0,10.1
Massachusetts,Y,1598878.0,1.0,0.718,16.0,182.7,4.0,208.7,12.0,88.2,5.0,86.6,14.0,9.5,43.0,32.4,43.0,25.2,5.0,28.6,19.0,32.4,1.0,82.1,3.0,4.1,5.0,57.7,7.0,25.8,6.0,6097.0,2.0,245.0,17.0,7.4,20.0,3.9,2018,1.0,2.7
Maryland,Y,1316115.0,17.0,0.29100000000000004,21.0,188.1,30.0,257.7,3.0,91.0,9.0,83.2,19.0,10.4,28.0,28.4,41.0,23.9,26.0,32.4,20.0,32.5,11.0,75.2,35.0,6.6,15.0,68.6,25.0,31.3,28.0,7655.0,8.0,188.2,23.0,8.0,24.0,4.2,2018,17.0,6.1
Virginia,Y,1053309.0,18.0,0.28600000000000003,24.0,190.7,24.0,239.6,16.0,87.0,29.0,76.7,23.0,10.5,45.0,33.3,15.0,13.4,26.0,32.4,37.0,34.7,6.0,77.1,21.0,5.9,9.0,61.2,22.0,30.0,18.0,6877.0,25.0,144.6,21.0,7.9,16.0,3.7,2018,31.0,8.8
New Mexico,Y,728327.0,34.0,-0.18600000000000005,6.0,168.9,10.0,225.0,42.0,82.1,43.0,71.5,29.0,10.7,17.0,26.1,44.0,25.6,14.0,30.5,13.0,31.4,19.0,71.9,18.0,5.6,49.0,105.7,14.0,28.4,42.0,9301.0,26.0,141.6,49.0,11.3,49.0,6.1,2018,35.0,9.2
Mississippi,N,620567.0,49.0,-0.637,48.0,226.6,50.0,356.0,34.0,84.7,31.0,76.5,49.0,14.2,3.0,19.6,8.0,11.9,47.0,40.8,48.0,37.7,38.0,68.7,50.0,8.9,43.0,87.6,49.0,37.3,49.0,11082.0,47.0,108.6,41.0,9.5,45.0,5.1,2018,44.0,11.9
Kentucky,Y,1222239.0,42.0,-0.292,50.0,234.9,44.0,299.7,18.0,86.8,13.0,82.3,44.0,12.9,22.0,27.0,47.0,28.6,46.0,39.4,49.0,38.1,23.0,71.0,36.0,6.7,45.0,91.7,43.0,34.3,47.0,10479.0,40.0,124.1,32.0,8.8,47.0,5.2,2018,8.0,5.3
Colorado,Y,1305951.0,12.0,0.371,3.0,162.3,2.0,207.4,24.0,86.0,39.0,73.9,2.0,7.4,37.0,30.8,22.0,16.2,2.0,25.9,5.0,30.3,23.0,71.0,8.0,4.7,33.0,79.3,1.0,22.6,9.0,6352.0,27.0,141.3,6.0,6.3,5.0,2.9,2018,23.0,7.5
Arizona,Y,1700470.0,33.0,-0.168,4.0,168.4,5.0,217.4,30.0,85.2,40.0,72.6,19.0,10.4,32.0,29.2,31.0,19.5,18.0,30.7,28.0,33.4,44.0,66.5,15.0,5.4,36.0,80.4,21.0,29.5,26.0,7502.0,38.0,126.1,41.0,9.5,35.0,4.7,2018,39.0,10.1
Kansas,N,389535.0,27.0,0.014,31.0,195.5,31.0,258.2,32.0,84.8,26.0,77.6,23.0,10.5,25.0,27.9,7.0,11.6,31.0,32.8,30.0,34.1,32.0,69.5,21.0,5.9,23.0,71.7,32.0,32.3,23.0,7350.0,31.0,136.9,11.0,6.9,13.0,3.6,2018,30.0,8.7
Alaska,Y,211912.0,35.0,-0.227,26.0,192.1,11.0,226.1,50.0,75.1,47.0,68.7,2.0,7.4,1.0,13.1,25.0,16.5,23.0,31.8,12.0,31.2,32.0,69.5,27.0,6.1,48.0,97.8,42.0,34.2,37.0,8666.0,29.0,139.0,50.0,13.2,50.0,7.7,2018,48.0,13.9
Utah,N,288403.0,6.0,0.506,1.0,150.4,19.0,236.1,48.0,80.0,45.0,71.0,1.0,7.1,37.0,30.8,40.0,22.9,1.0,24.5,1.0,28.6,40.0,67.9,13.0,5.2,31.0,76.9,4.0,25.2,14.0,6565.0,49.0,99.2,11.0,6.9,11.0,3.4,2018,33.0,9.0
Louisiana,Y,1577428.0,50.0,-0.667,44.0,215.3,46.0,320.0,25.0,85.9,25.0,78.3,47.0,13.6,19.0,26.2,30.0,18.9,45.0,39.0,47.0,37.6,28.0,70.0,46.0,7.8,41.0,84.9,45.0,36.2,46.0,10125.0,32.0,136.4,43.0,9.7,45.0,5.1,2018,38.0,9.4
South Dakota,N,110749.0,28.0,0.013,20.0,188.0,22.0,238.3,42.0,82.1,33.0,75.8,35.0,11.1,26.0,28.0,2.0,8.0,19.0,30.8,4.0,29.5,12.0,74.7,27.0,6.1,32.0,78.0,29.0,31.9,25.0,7499.0,35.0,130.9,8.0,6.5,13.0,3.6,2018,32.0,8.9
Montana,Y,279675.0,22.0,0.188,17.0,183.3,18.0,233.3,46.0,80.6,44.0,71.4,5.0,7.9,6.0,21.5,11.0,12.6,6.0,29.0,2.0,28.8,47.0,66.2,21.0,5.9,44.0,91.0,5.0,25.3,31.0,7900.0,44.0,115.2,29.0,8.3,21.0,4.0,2018,28.0,8.3
Maine,Y,256900.0,8.0,0.395,39.0,205.8,13.0,230.1,28.0,85.4,3.0,87.2,29.0,10.7,34.0,29.8,37.0,21.6,39.0,34.8,46.0,37.4,17.0,72.7,30.0,6.2,29.0,75.7,18.0,29.1,24.0,7464.0,7.0,194.3,19.0,7.7,10.0,3.3,2018,26.0,8.1
Nevada,Y,636208.0,39.0,-0.267,22.0,190.1,41.0,294.2,32.0,84.8,50.0,66.2,19.0,10.4,10.0,23.8,36.0,21.0,29.0,32.6,27.0,33.1,20.0,71.3,17.0,5.5,27.0,75.4,8.0,26.7,30.0,7899.0,48.0,107.6,48.0,10.8,43.0,5.0,2018,43.0,11.3
California,Y,11927676.0,15.0,0.312,7.0,169.2,14.0,231.1,13.0,87.6,35.0,75.5,23.0,10.5,50.0,37.1,8.0,11.9,4.0,28.4,7.0,30.8,39.0,68.6,4.0,4.3,2.0,49.7,3.0,25.1,2.0,5734.0,30.0,138.3,45.0,9.8,38.0,4.8,2018,21.0,7.3
Hawaii,Y,331075.0,2.0,0.654,2.0,161.1,3.0,208.1,39.0,83.5,9.0,83.2,31.0,10.9,2.0,13.3,10.0,12.3,16.0,30.6,14.0,31.8,31.0,69.8,24.0,6.0,4.0,52.8,2.0,23.8,7.0,6104.0,9.0,187.6,2.0,6.0,1.0,2.4,2018,2.0,3.7
Oregon,Y,979447.0,16.0,0.294,23.0,190.4,8.0,220.6,36.0,84.5,30.0,76.6,15.0,9.6,42.0,31.6,11.0,12.6,12.0,30.1,17.0,32.1,27.0,70.3,9.0,4.9,21.0,71.2,20.0,29.4,11.0,6511.0,24.0,145.4,29.0,8.3,22.0,4.1,2018,19.0,6.5
Florida,N,3703423.0,32.0,-0.12,12.0,181.4,17.0,233.1,8.0,89.3,42.0,72.0,23.0,10.5,13.0,24.8,29.0,17.7,35.0,34.6,40.0,35.9,8.0,76.2,30.0,6.2,20.0,71.1,14.0,28.4,29.0,7790.0,34.0,131.3,34.0,9.1,22.0,4.1,2018,46.0,12.7
Pennsylvania,Y,2949567.0,26.0,0.022,35.0,200.3,35.0,265.7,22.0,86.1,6.0,85.5,28.0,10.6,7.0,22.2,46.0,28.1,29.0,32.6,24.0,33.0,26.0,70.4,27.0,6.1,30.0,76.4,26.0,31.6,33.0,8013.0,5.0,208.7,40.0,9.4,38.0,4.8,2018,11.0,5.6
Georgia,N,1821852.0,44.0,-0.33,31.0,195.5,38.0,282.9,7.0,89.4,41.0,72.5,38.0,11.4,12.0,24.7,13.0,12.7,33.0,33.1,10.0,31.1,50.0,65.6,45.0,7.6,14.0,66.9,26.0,31.6,36.0,8391.0,42.0,121.9,32.0,8.8,35.0,4.7,2018,47.0,13.2
Oklahoma,N,728153.0,47.0,-0.4320000000000001,45.0,216.8,48.0,338.9,44.0,82.0,36.0,75.2,43.0,12.7,21.0,26.5,34.0,20.4,42.0,37.7,44.0,37.0,43.0,67.3,43.0,7.4,47.0,95.8,48.0,36.5,44.0,9992.0,36.0,129.4,17.0,7.4,28.0,4.4,2018,49.0,14.0
Minnesota,Y,1069346.0,9.0,0.383,12.0,181.4,1.0,190.3,17.0,86.9,38.0,74.7,4.0,7.8,14.0,25.5,6.0,10.8,3.0,26.6,3.0,29.0,48.0,66.1,11.0,5.1,11.0,62.3,14.0,28.4,1.0,5653.0,16.0,165.9,8.0,6.5,11.0,3.4,2018,4.0,4.3
New Jersey,Y,1738183.0,9.0,0.383,15.0,182.3,26.0,245.4,2.0,91.1,22.0,79.2,32.0,11.0,40.0,31.2,27.0,17.6,32.0,33.0,35.0,34.6,35.0,69.3,5.0,4.4,3.0,50.1,10.0,27.2,8.0,6225.0,12.0,176.3,36.0,9.2,32.0,4.6,2018,24.0,7.9
Alabama,N,911983.0,48.0,-0.483,42.0,210.5,49.0,342.6,14.0,87.5,22.0,79.2,48.0,14.1,9.0,23.1,20.0,15.4,49.0,41.9,45.0,37.2,21.0,71.2,49.0,8.7,34.0,80.2,46.0,36.3,48.0,10720.0,41.0,122.8,26.0,8.2,25.0,4.3,2018,36.0,9.3
Illinois,Y,2860188.0,24.0,0.083,34.0,199.9,33.0,260.1,18.0,86.8,15.0,81.9,32.0,11.0,46.0,33.7,19.0,15.3,25.0,32.2,20.0,32.5,9.0,75.4,30.0,6.2,6.0,58.3,24.0,31.1,21.0,7127.0,10.0,184.0,36.0,9.2,41.0,4.9,2018,20.0,6.7
Wisconsin,N,1020034.0,23.0,0.174,25.0,191.1,23.0,238.7,31.0,85.0,13.0,82.3,12.0,9.1,41.0,31.3,24.0,16.4,19.0,30.8,34.0,34.5,36.0,69.2,24.0,6.0,25.0,74.1,30.0,32.0,17.0,6821.0,20.0,150.1,8.0,6.5,7.0,3.2,2018,10.0,5.4
Michigan,Y,2333409.0,30.0,-0.065,38.0,203.0,42.0,297.8,9.0,89.2,8.0,84.8,32.0,11.0,14.0,25.5,35.0,20.8,36.0,34.7,38.0,35.1,29.0,69.9,33.0,6.5,18.0,70.8,32.0,32.3,34.0,8102.0,6.0,200.9,34.0,9.1,35.0,4.7,2018,8.0,5.3
Wyoming,N,58118.0,25.0,0.056,5.0,168.8,20.0,237.5,47.0,80.4,48.0,68.5,10.0,9.0,11.0,24.5,27.0,17.6,19.0,30.8,7.0,30.8,18.0,72.0,10.0,5.0,46.0,95.2,17.0,28.8,27.0,7636.0,46.0,109.4,25.0,8.1,25.0,4.3,2018,44.0,11.9
North Carolina,N,1763338.0,31.0,-0.08,33.0,197.9,29.0,254.6,20.0,86.7,24.0,78.8,38.0,11.4,35.0,30.2,22.0,16.2,36.0,34.7,39.0,35.5,25.0,70.9,41.0,7.3,22.0,71.6,31.0,32.1,35.0,8177.0,33.0,132.5,26.0,8.2,31.0,4.5,2018,42.0,10.6
Missouri,N,888597.0,36.0,-0.242,40.0,207.2,40.0,291.7,26.0,85.6,32.0,76.2,19.0,10.4,8.0,22.3,31.0,19.5,24.0,32.0,33.0,34.3,21.0,71.2,33.0,6.5,40.0,82.4,34.0,32.5,38.0,8717.0,15.0,166.4,14.0,7.1,19.0,3.8,2018,33.0,9.0
North Dakota,Y,91072.0,19.0,0.275,10.0,177.8,12.0,228.0,45.0,80.9,46.0,70.9,10.0,9.0,16.0,25.9,3.0,8.3,8.0,29.5,10.0,31.1,4.0,78.8,37.0,6.8,16.0,69.5,38.0,33.1,19.0,7047.0,21.0,149.5,1.0,5.3,2.0,2.6,2018,21.0,7.3
South Carolina,N,1044270.0,46.0,-0.379,37.0,202.0,36.0,277.7,14.0,87.5,27.0,77.4,46.0,13.4,23.0,27.3,21.0,16.1,43.0,38.1,42.0,36.7,49.0,66.0,38.0,7.0,39.0,81.6,41.0,34.1,41.0,9232.0,37.0,128.9,20.0,7.8,28.0,4.4,2018,41.0,10.5
West Virginia,Y,520656.0,40.0,-0.285,49.0,227.4,43.0,299.6,21.0,86.6,19.0,80.7,50.0,15.2,4.0,20.0,50.0,41.4,50.0,43.5,50.0,39.7,12.0,74.7,39.0,7.2,50.0,109.0,50.0,38.1,50.0,11136.0,14.0,168.5,47.0,10.2,47.0,5.2,2018,13.0,5.7
Arkansas,Y,850695.0,45.0,-0.361,47.0,218.6,47.0,330.2,41.0,82.8,20.0,80.5,42.0,12.2,5.0,21.2,14.0,13.2,48.0,41.3,43.0,36.8,34.0,69.4,46.0,7.8,38.0,81.1,44.0,35.0,45.0,10099.0,43.0,120.9,14.0,7.1,16.0,3.7,2018,24.0,7.9
Connecticut,Y,855943.0,3.0,0.644,8.0,174.7,7.0,217.9,1.0,91.4,7.0,85.4,17.0,9.8,43.0,32.4,39.0,22.1,14.0,30.5,18.0,32.2,10.0,75.3,13.0,5.2,10.0,61.7,9.0,26.9,3.0,5923.0,4.0,216.3,46.0,10.1,41.0,4.9,2018,7.0,5.2
Delaware,Y,248964.0,29.0,0.004,36.0,200.8,28.0,253.9,5.0,90.2,16.0,81.6,36.0,11.3,20.0,26.4,42.0,24.0,40.0,34.9,35.0,34.6,6.0,77.1,48.0,8.4,17.0,70.0,28.0,31.8,32.0,7992.0,18.0,161.4,43.0,9.7,38.0,4.8,2018,11.0,5.6
Ohio,Y,2651092.0,37.0,-0.251,41.0,210.3,39.0,286.5,29.0,85.3,17.0,81.2,36.0,11.3,24.0,27.6,48.0,30.4,36.0,34.7,28.0,33.4,45.0,66.4,41.0,7.3,34.0,80.2,40.0,33.8,40.0,8998.0,13.0,174.6,36.0,9.2,43.0,5.0,2018,14.0,5.8
Iowa,Y,691918.0,21.0,0.24,30.0,195.3,27.0,245.8,37.0,84.4,12.0,82.6,15.0,9.6,31.0,29.1,4.0,9.8,22.0,31.5,30.0,34.1,16.0,72.8,11.0,5.1,12.0,64.3,47.0,36.4,16.0,6812.0,22.0,146.7,4.0,6.2,7.0,3.2,2018,5.0,4.5
Indiana,Y,1450933.0,38.0,-0.252,42.0,210.5,37.0,278.5,40.0,83.4,18.0,80.8,40.0,11.8,17.0,26.1,33.0,20.2,41.0,35.2,30.0,34.1,46.0,66.3,43.0,7.4,24.0,73.4,39.0,33.6,39.0,8774.0,39.0,126.0,13.0,7.0,13.0,3.6,2018,27.0,8.2
Tennessee,N,1396302.0,41.0,-0.28600000000000003,46.0,217.7,45.0,310.4,10.0,89.0,27.0,77.4,45.0,13.1,36.0,30.6,38.0,22.0,44.0,38.7,41.0,36.5,2.0,79.3,39.0,7.2,42.0,85.4,35.0,32.8,43.0,9756.0,28.0,140.2,21.0,7.9,16.0,3.7,2018,36.0,9.3
Washington,Y,1739111.0,7.0,0.453,18.0,184.3,6.0,217.6,26.0,85.6,34.0,75.6,12.0,9.1,29.0,28.6,18.0,14.6,8.0,29.5,14.0,31.8,29.0,69.9,7.0,4.6,13.0,64.9,12.0,27.7,4.0,5942.0,23.0,146.5,36.0,9.2,32.0,4.6,2018,17.0,6.1
Rhode Island,Y,311254.0,13.0,0.358,28.0,193.5,15.0,231.2,4.0,90.5,1.0,87.8,9.0,8.9,30.0,28.8,45.0,27.5,33.0,33.1,24.0,33.0,14.0,74.4,19.0,5.7,18.0,70.8,22.0,30.0,12.0,6561.0,1.0,264.5,23.0,8.0,28.0,4.4,2018,5.0,4.5
New York,Y,6523404.0,11.0,0.375,9.0,177.7,32.0,258.5,6.0,89.5,11.0,82.8,23.0,10.5,37.0,30.8,17.0,14.3,7.0,29.4,22.0,32.6,42.0,67.5,6.0,4.5,1.0,45.7,6.0,25.7,5.0,5978.0,3.0,223.7,31.0,8.6,32.0,4.6,2018,15.0,5.9
